Applicants,Age,Gender,Education Type,Employment Type,Experience Years,Annual Income (₹),Loan Type,Loan Amount,Loan Term Years,Interest Rate (%),EMI (₹),Credit Score,Previous Default,Active Loans,Debt to Income Ratio,Fraud Flag,Risk Score,Risk Category,Loan Status
A203,60,Female,High School,Self-Employed,29,2150000,Home,10750000,30,0.11,102374.77,620,No,1,0.5714,No,66,Medium Risk,Rejected
A204,23,Female,Graduate,Salaried,1,250000,Personal,150000,1.5,0.12,9147.31,780,No,1,0.4391,No,79,Low Risk,Approved
A205,38,Male,Post Graduate,Self-Employed,13,1400000,Personal,840000,3.5,0.15,25829.21,740,No,0,0,No,95,Low Risk,Approved
A206,55,Female,Post Graduate,Salaried,23,1920000,Personal,1152000,3,0.099,37117.74,820,No,1,0.232,No,89,Low Risk,Approved
A207,44,Male,Graduate,Self-Employed,24,1750000,Business,17500000,8,0.16,324253.75,710,No,0,0,No,93,Low Risk,Approved
A208,26,Female,Graduate,Salaried,3,320000,Personal,192000,2,0.2,9771.99,600,No,0,0,No,88,Low Risk,Rejected
A209,28,Male,Diploma,Self-Employed,7,800000,Home,4000000,10,0.105,53974,570,Yes,1,0.8096,Yes,34,High Risk,Rejected
A210,58,Female,Graduate,Salaried,30,1970000,Home,9850000,15,0.095,102856.13,680,No,1,0.6265,No,67,Medium Risk,Approved
A211,22,Male,Diploma,Self-Employed,3,340000,Personal,204000,2.5,0.099,7704.05,820,No,0,0,No,99,Low Risk,Approved
A212,55,Female,Graduate,Self-Employed,28,2140000,Home,10700000,20,0.11,110444.16,560,Yes,0,0,No,66,Medium Risk,Rejected
A213,43,Male,High School,Salaried,21,930000,Home,4650000,10,0.095,60169.86,670,No,0,0,No,92,Low Risk,Approved
A214,48,Female,Graduate,Self-Employed,26,2000000,Business,20000000,9,0.235,446661.8,550,Yes,3,8.0399,Yes,-256,High Risk,Rejected
A215,27,Male,Diploma,Salaried,6,720000,Personal,432000,2,0.2,21986.99,630,No,1,0.3664,No,75,Low Risk,Rejected
A216,26,Female,Post Graduate,Salaried,2,390000,Personal,234000,1.5,0.26,15837.94,580,Yes,3,1.462,Yes,9,High Risk,Rejected
A217,21,Male,Diploma,Salaried,2,260000,Personal,156000,2,0.12,7343.46,750,No,0,0,No,95,Low Risk,Approved
A218,50,Male,High School,Self-Employed,30,1950000,Personal,1170000,5,0.15,27834.22,700,No,0,0,No,93,Low Risk,Approved
A219,59,Female,Graduate,Salaried,29,1920000,Home,9600000,25,0.1,87235.27,680,No,0,0,No,92,Low Risk,Approved
A220,26,Female,Post Graduate,Self-Employed,7,850000,Home,4250000,20,0.092,38786.72,730,No,1,0.5476,No,72,Medium Risk,Approved
A221,53,Female,High School,Salaried,33,1256000,Home,6280000,30,0.085,48287.77,730,No,1,0.4613,No,76,Low Risk,Approved
A222,56,Male,Graduate,Self-Employed,31,1850000,Business,18500000,10,0.138,285022.41,790,No,0,0,No,97,Low Risk,Approved
A223,50,Female,Post Graduate,Salaried,29,1970000,Home,9850000,25,0.08,76023.9,830,No,0,0,No,99,Low Risk,Approved
A224,36,Male,High School,Self-Employed,6,600000,Personal,360000,2.5,0.12,13949.32,790,No,1,0.279,No,86,Low Risk,Approved
A225,26,Female,Post Graduate,Salaried,3,400000,Personal,240000,2,0.18,11981.78,690,No,1,0.3595,No,78,Low Risk,Approved
A226,53,Male,Graduate,Self-Employed,30,1960000,Home,9800000,20,0.072,77160.23,820,No,0,0,No,99,Low Risk,Approved
A227,33,Female,Post Graduate,Salaried,10,950000,Home,4750000,15,0.105,52506.45,600,No,0,0,No,88,Low Risk,Rejected
A228,44,Male,Diploma,Self-Employed,23,2000000,Business,20000000,7,0.18,420356.76,680,No,0,0,No,92,Low Risk,Approved
A229,32,Female,High School,Salaried,7,490000,Personal,294000,3,0.099,9472.76,840,No,1,0.232,No,90,Low Risk,Approved
A230,40,Male,Post Graduate,Salaried,16,1400000,Personal,840000,4.5,0.099,19340.02,830,No,0,0,No,99,Low Risk,Approved
A231,33,Female,High School,Salaried,9,680000,Home,3400000,10,0.105,45877.9,620,No,0,0,No,89,Low Risk,Rejected
A232,43,Male,Diploma,Salaried,20,1640000,Home,8200000,20,0.072,64562.64,840,No,0,0,No,100,Low Risk,Approved
A233,57,Female,High School,Self-Employed,25,2150000,Personal,1290000,4,0.18,37893.75,670,No,1,0.2115,No,83,Low Risk,Approved
A234,31,Male,Post Graduate,Self-Employed,11,1250000,Home,6250000,25,0.11,61257.07,570,Yes,3,1.7642,Yes,-4,High Risk,Rejected
A235,37,Female,Graduate,Salaried,11,1020000,Personal,612000,3,0.12,20327.16,750,No,1,0.2391,No,86,Low Risk,Approved
A236,52,Female,Post Graduate,Self-Employed,29,2150000,Business,21500000,8,0.138,371044.28,770,No,0,0,No,96,Low Risk,Approved
A237,49,Female,Graduate,Salaried,29,1650000,Home,8250000,30,0.085,63435.36,720,No,1,0.4613,No,75,Low Risk,Approved
A238,34,Male,High School,Self-Employed,13,1450000,Personal,870000,4,0.15,24212.75,720,No,1,0.2004,No,86,Low Risk,Approved
A239,57,Female,Graduate,Salaried,24,1950000,Home,9750000,30,0.11,92851.53,550,Yes,2,1.1428,Yes,20,High Risk,Rejected
A240,28,Female,Post Graduate,Self-Employed,5,590000,Home,2950000,10,0.082,36104.16,790,No,0,0,No,97,Low Risk,Approved
A241,27,Male,High School,Salaried,9,690000,Personal,414000,3,0.26,16680.32,580,Yes,2,0.5802,Yes,44,High Risk,Rejected
A242,55,Female,Post Graduate,Self-Employed,28,2400000,Business,24000000,9,0.235,535994.15,640,No,0,0,No,90,Low Risk,Rejected
A243,49,Male,Graduate,Salaried,27,1850000,Home,9250000,20,0.085,80273.65,750,No,0,0,No,95,Low Risk,Approved
A244,50,Female,Post Graduate,Salaried,28,2260000,Personal,1356000,4,0.099,34326.58,850,No,0,0,No,100,Low Risk,Approved
A245,42,Male,High School,Salaried,20,1470000,Home,7350000,15,0.105,81246.82,570,Yes,2,1.3265,Yes,14,High Risk,Rejected
A246,57,Male,Diploma,Salaried,31,1852000,Personal,1111200,5,0.12,24718.03,760,No,1,0.1602,No,89,Low Risk,Approved
A247,21,Female,High School,Salaried,4,320000,Home,1600000,10,0.088,20095.35,730,No,1,0.7536,No,64,Medium Risk,Approved
A248,36,Male,Diploma,Self-Employed,5,600000,Personal,360000,2.5,0.15,14464.28,740,No,1,0.2893,No,83,Low Risk,Approved
A249,33,Female,Post Graduate,Self-Employed,11,1100000,Home,5500000,10,0.082,67312.84,760,No,0,0,No,96,Low Risk,Approved
A250,29,Male,High School,Salaried,10,720000,Home,3600000,10,0.078,43298.42,840,No,0,0,No,100,Low Risk,Approved
A251,45,Female,Diploma,Salaried,25,2150000,Personal,1290000,3,0.099,41564.13,830,No,0,0,No,99,Low Risk,Approved
A252,52,Male,Graduate,Salaried,28,2000000,Personal,1200000,4,0.15,33396.9,720,No,1,0.2004,No,86,Low Risk,Approved
A253,56,Female,Post Graduate,Salaried,22,1950000,Personal,1170000,5,0.18,29710.31,660,No,0,0,No,91,Low Risk,Approved
A254,59,Male,Diploma,Salaried,21,1750000,Home,8750000,20,0.072,68893.06,840,No,0,0,No,100,Low Risk,Approved
A255,35,Female,Graduate,Salaried,11,960000,Home,4800000,20,0.085,41655.52,760,No,1,0.5207,No,75,Low Risk,Approved
A256,53,Female,High School,Self-Employed,20,2020000,Business,20200000,6,0.22,507547.77,560,Yes,0,0,No,66,Medium Risk,Rejected
A257,57,Male,Post Graduate,Salaried,25,1850000,Home,9250000,15,0.095,96590.78,660,No,1,0.6265,No,66,Medium Risk,Approved
A258,34,Male,Diploma,Self-Employed,15,1300000,Personal,780000,2.5,0.24,34826.94,600,No,1,0.3215,No,75,Low Risk,Rejected
A259,28,Female,Graduate,Salaried,4,370000,Personal,222000,3.5,0.18,7162.67,650,No,1,0.2323,No,81,Low Risk,Approved
A260,35,Male,High School,Self-Employed,15,1250000,Home,6250000,10,0.095,80873.47,670,No,1,0.7764,No,60,Medium Risk,Approved
A261,46,Female,Graduate,Salaried,24,1990000,Personal,1194000,5,0.26,35748.92,550,Yes,1,0.2156,No,57,Medium Risk,Rejected
A262,33,Male,Post Graduate,Self-Employed,14,1500000,Business,15000000,10,0.12,215206.42,800,No,0,0,No,98,Low Risk,Approved
A263,58,Female,Post Graduate,Self-Employed,17,1550000,Personal,930000,3,0.18,33621.73,650,No,1,0.2603,No,80,Low Risk,Approved
A264,39,Female,Graduate,Salaried,10,950000,Home,4750000,15,0.105,52506.45,620,No,0,0,No,89,Low Risk,Rejected
A265,41,Male,High School,Self-Employed,20,1850000,Home,9250000,20,0.072,72829.81,840,No,0,0,No,100,Low Risk,Approved
A266,36,Male,Graduate,Salaried,9,1000000,Personal,600000,2.5,0.24,26789.95,610,No,0,0,No,89,Low Risk,Rejected
A267,45,Male,Post Graduate,Self-Employed,23,2200000,Business,22000000,9,0.16,385555.52,700,No,1,2.103,No,9,High Risk,Approved
A268,25,Male,High School,Self-Employed,6,805000,Personal,483000,3,0.099,15562.38,820,No,0,0,No,99,Low Risk,Approved
A269,37,Female,Graduate,Salaried,12,900000,Home,4500000,25,0.092,38382.04,720,No,1,0.5118,No,73,Medium Risk,Approved
A270,35,Female,Post Graduate,Salaried,10,970000,Personal,582000,3,0.18,21040.69,670,No,1,0.2603,No,81,Low Risk,Approved
A271,28,Female,Graduate,Salaried,5,620000,Personal,372000,2,0.099,17148.75,810,No,1,0.3319,No,85,Low Risk,Approved
A272,48,Male,Diploma,Salaried,25,1950000,Personal,1170000,4.5,0.26,36967.86,550,Yes,2,0.455,No,48,High Risk,Rejected
A273,48,Female,High School,Salaried,30,1150000,Home,5750000,25,0.085,46300.56,750,No,1,0.4831,No,76,Low Risk,Approved
A274,43,Male,Graduate,Salaried,21,1950000,Personal,1170000,5,0.26,35030.35,560,Yes,1,0.2156,No,58,Medium Risk,Rejected
A275,33,Female,Post Graduate,Salaried,12,1150000,Personal,690000,2,0.2,35118.1,620,No,0,0,No,89,Low Risk,Rejected
A276,59,Male,Graduate,Self-Employed,12,1200000,Home,6000000,20,0.072,47240.96,810,No,1,0.4724,No,79,Low Risk,Approved
A277,46,Male,Diploma,Self-Employed,21,2250000,Business,22500000,10,0.235,488259.72,600,No,1,2.6041,No,-16,High Risk,Rejected
A278,57,Female,Graduate,Salaried,33,1205000,Home,6025000,20,0.085,52286.35,770,No,0,0,No,96,Low Risk,Approved
A279,21,Male,Graduate,Salaried,1,220000,Personal,132000,1.5,0.099,7921.46,820,No,1,0.4321,No,81,Low Risk,Approved
A280,59,Male,High School,Self-Employed,30,2100000,Personal,1260000,5,0.099,26709.32,800,No,0,0,No,98,Low Risk,Approved
A281,44,Female,Graduate,Self-Employed,21,2150000,Home,10750000,25,0.1,97685.33,680,No,0,0,No,92,Low Risk,Approved
A282,47,Male,High School,Salaried,22,1240000,Home,6200000,15,0.095,64741.93,670,No,1,0.6265,No,66,Medium Risk,Approved
A283,51,Female,Post Graduate,Self-Employed,28,2050000,Business,20500000,11,0.25,457145.13,640,No,0,0,No,90,Low Risk,Rejected
A284,21,Female,Graduate,Salaried,1,230000,Personal,138000,1.5,0.15,8609.1,740,No,1,0.4492,No,77,Low Risk,Approved
A285,39,Female,Graduate,Self-Employed,14,1200000,Personal,720000,2.5,0.099,27190.75,800,No,1,0.2719,No,87,Low Risk,Approved
A286,53,Male,Diploma,Self-Employed,25,2250000,Home,11250000,10,0.105,151801.87,570,Yes,3,2.4288,Yes,-30,High Risk,Rejected
A287,33,Male,High School,Salaried,11,720000,Home,3600000,15,0.105,39794.36,610,No,0,0,No,89,Low Risk,Rejected
A288,59,Female,Post Graduate,Salaried,28,2100000,Home,10500000,15,0.095,109643.59,680,No,1,0.6265,No,67,Medium Risk,Approved
A289,36,Female,High School,Salaried,10,680000,Home,3400000,10,0.082,41611.57,780,No,1,0.7343,No,67,Medium Risk,Approved
A290,21,Male,Graduate,Self-Employed,2,300000,Personal,180000,2,0.099,8297.78,820,No,1,0.3319,No,85,Low Risk,Approved
A291,57,Female,Graduate,Salaried,27,1750000,Home,8750000,20,0.092,79855.01,740,No,1,0.5476,No,73,Medium Risk,Approved
A292,29,Male,Diploma,Salaried,8,760000,Personal,456000,3,0.099,14692.44,830,No,0,0,No,99,Low Risk,Approved
A293,33,Female,High School,Self-Employed,15,1800000,Personal,1080000,5,0.26,32335.71,580,Yes,3,0.6467,Yes,41,High Risk,Rejected
A294,37,Male,Post Graduate,Salaried,13,1150000,Personal,690000,3,0.24,27070.67,620,No,1,0.2825,No,78,Low Risk,Rejected
A295,59,Female,Graduate,Self-Employed,23,2250000,Home,11250000,25,0.092,95955.11,710,No,0,0,No,93,Low Risk,Approved
A296,43,Male,Post Graduate,Self-Employed,19,1870000,Business,18700000,8,0.138,322722.23,770,No,0,0,No,96,Low Risk,Approved
A297,39,Female,Graduate,Salaried,15,1240000,Personal,744000,4,0.18,21855,670,No,0,0,No,92,Low Risk,Approved
A298,28,Female,Graduate,Salaried,6,905000,Home,4525000,15,0.078,42722.43,840,No,1,0.5665,No,77,Low Risk,Approved
A299,49,Male,Post Graduate,Self-Employed,25,2000000,Personal,1200000,5,0.12,26693.34,760,No,0,0,No,96,Low Risk,Approved
A300,58,Female,High School,Salaried,20,1350000,Home,6750000,15,0.095,70485.17,650,No,1,0.6265,No,66,Medium Risk,Approved
A301,44,Male,Graduate,Self-Employed,19,2000000,Home,10000000,10,0.105,134935,590,Yes,3,2.4288,Yes,-29,High Risk,Rejected
A302,60,Male,Post Graduate,Salaried,36,1705000,Personal,1023000,2,0.15,49601.84,700,No,1,0.3491,No,79,Low Risk,Approved
A303,21,Female,High School,Salaried,1,200000,Personal,120000,3,0.15,4159.84,730,No,0,0,No,94,Low Risk,Approved
A304,32,Male,Diploma,Self-Employed,9,1150000,Business,11500000,5,0.22,317617.49,600,No,0,0,No,88,Low Risk,Rejected
A305,50,Female,Post Graduate,Salaried,28,1950000,Home,9750000,20,0.11,100638.37,560,Yes,3,1.8579,Yes,-8,High Risk,Rejected
A306,29,Male,Diploma,Salaried,6,750500,Personal,450300,3,0.15,15609.8,710,No,1,0.2496,No,83,Low Risk,Approved
A307,54,Male,High School,Salaried,31,1480000,Personal,888000,5,0.24,25545.95,610,No,1,0.2071,No,80,Low Risk,Rejected
A308,23,Female,High School,Self-Employed,4,810000,Personal,486000,3,0.18,17570.06,650,No,1,0.2603,No,80,Low Risk,Approved
A309,59,Female,Graduate,Self-Employed,32,2500000,Home,12500000,30,0.11,119040.42,640,No,1,0.5714,No,67,Medium Risk,Rejected
A310,49,Female,Post Graduate,Salaried,24,1920000,Home,9600000,30,0.085,73815.69,780,No,1,0.4613,No,78,Low Risk,Approved
A311,44,Male,Diploma,Self-Employed,18,2000000,Business,20000000,7,0.22,468518.88,610,No,0,0,No,89,Low Risk,Rejected
A312,39,Male,High School,Salaried,13,930000,Personal,558000,3,0.12,18533.58,750,No,0,0,No,95,Low Risk,Approved
A313,56,Male,Post Graduate,Self-Employed,27,1850000,Personal,1110000,3,0.18,40129.16,650,No,1,0.2603,No,80,Low Risk,Approved
A314,31,Female,High School,Salaried,8,580000,Home,2900000,20,0.092,26466.23,710,No,0,0,No,93,Low Risk,Approved
A315,47,Female,Graduate,Self-Employed,23,2240000,Home,11200000,30,0.08,82181.63,800,No,0,0,No,98,Low Risk,Approved
A316,44,Female,Post Graduate,Salaried,19,1550000,Personal,930000,3,0.099,29964.84,810,No,0,0,No,98,Low Risk,Approved
A317,56,Female,Post Graduate,Self-Employed,21,2200000,Business,22000000,6,0.15,465190.29,710,No,0,0,No,93,Low Risk,Approved
A318,35,Female,Graduate,Self-Employed,12,1350000,Personal,810000,4,0.099,20504.81,820,No,1,0.1823,No,91,Low Risk,Approved
A319,28,Male,High School,Salaried,9,720000,Home,3600000,10,0.088,45214.53,700,No,0,0,No,93,Low Risk,Approved
A320,47,Male,Graduate,Salaried,21,1900000,Personal,1140000,5,0.18,28948.51,660,No,1,0.1828,No,84,Low Risk,Approved
A321,41,Female,Post Graduate,Self-Employed,17,1530000,Home,7650000,25,0.092,65249.47,740,No,0,0,No,95,Low Risk,Approved
A322,28,Male,Diploma,Salaried,10,1000000,Home,5000000,20,0.1,48251.08,680,No,1,0.579,No,69,Medium Risk,Approved
A323,25,Female,Graduate,Self-Employed,3,560000,Personal,336000,2,0.22,17431.06,560,Yes,1,0.3735,No,51,Medium Risk,Rejected
A324,29,Male,Post Graduate,Salaried,5,540000,Personal,324000,2.5,0.12,12554.39,760,No,0,0,No,96,Low Risk,Approved
A325,45,Male,Graduate,Self-Employed,22,2250000,Personal,1350000,5,0.24,38836.75,640,No,1,0.2071,No,82,Low Risk,Rejected
A326,32,Male,Post Graduate,Salaried,8,810000,Home,4050000,30,0.1,35541.65,670,No,1,0.5265,No,70,Medium Risk,Approved
A327,51,Female,Post Graduate,Self-Employed,29,1960000,Home,9800000,30,0.085,75353.52,790,No,1,0.4613,No,79,Low Risk,Approved
